"Customweb_Subscription::Set to yes, if price of a recurring payment should be recalculated - the products' current price is used and price rules are applied.","Set to yes, if price of a recurring payment should be recalculated - the products' current price is used and price rules are applied."
"Customweb_Subscription::Set to yes, if the invoice email should be sent automatically after settlement.","Set to yes, if the invoice email should be sent automatically after settlement."
"Customweb_Subscription::Settlement after Order","Settlement after Order"
"Customweb_Subscription::Settlement after order","Settlement after order"
"Customweb_Subscription::Ship to Name","Ship to name"
"Customweb_Subscription::Shipping","Shipping"
"Customweb_Subscription::Shipping Address","Delivery address"
"Customweb_Subscription::Shipping Amount","Shipping Amount"
"Customweb_Subscription::Shipping Amount Type","Type of shipping costs"
"Customweb_Subscription::Simulate Cron","Simulate cron"
"Customweb_Subscription::Sku","SKU"
"Customweb_Subscription::Social Security Number","Social Security Number"
"Customweb_Subscription::Sort Order","Sort Order"
"Customweb_Subscription::Start Date","Starting Date"
"Customweb_Subscription::Started At","Started on"
"Customweb_Subscription::Starting Date","Starting Date"
"Customweb_Subscription::Status","State"
"Customweb_Subscription::Store","Store"
"Customweb_Subscription::Subscribe now!","Subscribe now!"
"Customweb_Subscription::Subscriber","Subscriber"
"Customweb_Subscription::Subscription","Subscription"
"Customweb_Subscription::Subscription # %s | %s","Subscription # %s | %s"
"Customweb_Subscription::Subscription #%s","Subscription #%s"
"Customweb_Subscription::Subscription Cancelation Email","Subscription Cancelation Email"
"Customweb_Subscription::Subscription Cancelation Request Email","Subscription Cancelation Request Email"
"Customweb_Subscription::Subscription End","Subscription end"
"Customweb_Subscription::Subscription Failure Email","Subscription Failure Email"
"Customweb_Subscription::Subscription Guest Order Email","Subscription Guest Order Email"
"Customweb_Subscription::Subscription Information","Subscription Information"
"Customweb_Subscription::Subscription Invoice","Subscription Invoice"
"Customweb_Subscription::Subscription Order Email","Subscription Order Email"
"Customweb_Subscription::Subscription Pending Email","Subscription Pending Email"
"Customweb_Subscription::Subscription Plans","Subscription Plans"
"Customweb_Subscription::Subscription Prepayment","Subscription Prepayment"
"Customweb_Subscription::Subscription Recurring Guest Order Email","Subscription Recurring Guest Order Email"
"Customweb_Subscription::Subscription Recurring Order Email","Subscription Recurring Order Email"
"Customweb_Subscription::Subscription Reminder Email","Subscription Reminder Email"
"Customweb_Subscription::Subscription Update Email","Subscription Update Email"
"Customweb_Subscription::Subscription View","Subscription view"
"Customweb_Subscription::Subscriptions can be purchased standalone only. To proceed please remove other items from the quote.","Subscriptions can be purchased standalone only. To proceed please remove non-subscription items from the cart."
"Customweb_Subscription::Subscriptions:","Subscriptions:"
"Customweb_Subscription::Subtotal","Subtotal"
"Customweb_Subscription::Success","Successful"
"Customweb_Subscription::Successful","Successful"
"Customweb_Subscription::Support","Support"
"Customweb_Subscription::Suspend","Suspend"
"Customweb_Subscription::Suspend on Pending Payment","Suspend on Pending Payment"
"Customweb_Subscription::Suspended","Suspended"
"Customweb_Subscription::Tax","Tax"
"Customweb_Subscription::Tax Amount","Tax Amount"
"Customweb_Subscription::Test Mode","Test Mode"
"Customweb_Subscription::Test Transaction","Test Transaction"
"Customweb_Subscription::The Cancelation Email Template will be sent to inform the customer after has canceled a subscription.","The cancellation email template will be sent to inform the customer after cancelling a subscription."
"Customweb_Subscription::The Cancelation Request Email Template will be sent to inform the customer after has requested the cancelation of a subscription.","The cancelation request email template will be sent to inform the customer after has requested the cancelation of a subscription."
"Customweb_Subscription::The Failure Email Template will be sent to inform the customer after the payment has failed at due date. The subscription will be on hold and can only be reactivated in the backend.","The failure email template will be sent to inform the customer after the payment has failed at due date. The subscription will be on hold and can only be reactivated in the backend."
